Date,Close/Last,Volume,Open,High,Low
2020-11-27,116.59,46691330.0,116.57,117.49,116.22
2020-11-28,116.613,86585570.039,115.898,118.02,115.729
2020-11-29,116.818,154158018.848,115.087,118.976,115.24
2020-11-30,119.05,169410200.0,116.97,120.97,116.81
2020-12-01,122.72,128166800.0,121.01,123.469,120.01
2020-12-02,123.08,89004200.0,122.02,123.37,120.89
2020-12-03,122.94,78967630.0,123.52,123.78,122.21
2020-12-04,122.25,78260420.0,122.6,122.861,121.52
2020-12-05,122.129,82517587.423,121.653,122.817,121.087
2020-12-06,122.737,89551710.372,121.316,123.861,121.37
2020-12-07,123.75,86711990.0,122.31,124.57,122.25
2020-12-08,124.38,82225510.0,124.37,124.98,123.09
2020-12-09,121.78,115089200.0,124.53,125.95,121.0
2020-12-10,123.24,81312170.0,120.5,123.87,120.15
2020-12-11,122.41,86939790.0,122.43,122.76,120.55
2020-12-12,120.6,74329925.369,123.418,121.76,120.613
2020-12-13,118.971,43845278.892,122.472,121.043,120.375
2020-12-14,121.78,79075990.0,122.6,123.35,121.54
2020-12-15,127.88,157572300.0,124.34,127.9,124.13
2020-12-16,127.81,98208590.0,127.41,128.37,126.56
2020-12-17,128.7,94359810.0,128.9,129.58,128.045
2020-12-18,126.655,192541500.0,128.96,129.1,126.12
2020-12-19,125.525,211639779.031,126.985,127.724,123.61
2020-12-20,126.103,142851719.585,123.792,126.28,121.619
2020-12-21,128.23,121251600.0,125.02,128.31,123.449
2020-12-22,131.88,169351800.0,131.61,134.405,129.65
